postcode_prefix,postcode_district,region
AB,Aberdeen,Scotland
AL,St. Albans,East of England
B,Birmingham,West Midlands
BA,Bath,South West
BB,Blackburn,North West
BD,Bradford,North West
BF,British Forces,Non-geographic
BH,Bournemouth,South West
BL,Bolton,North West
BN,Brighton,South East
BR,Bromley,Greater London
BS,Bristol,South West
BT,Belfast,Northern Ireland
BX,Non-geographic,Non-geographic
CA,Carlisle,North West
CB,Cambridge,East of England
CF,Cardiff,Wales
CH,Chester,North West
CM,Chelmsford,East of England
CO,Colchester,East of England
CR,Croydon,Greater London
CT,Canterbury,South East
CV,Coventry,West Midlands
CW,Crewe,North West
DA,Dartford,Greater London
DD,Dundee,Scotland
DE,Derby,East Midlands
DG,Dumfries,Scotland
DH,Durham,North East
DL,Darlington,North East
DN,Doncaster,East Midlands
DT,Dorchester,South West
DY,Dudley,West Midlands
E,London,Greater London
EC,London,Greater London
EH,Edinburgh,Scotland
EN,Enfield,Greater London
EX,Exeter,South West
FK,Falkirk,Scotland
FY,Blackpool,North West
G,Glasgow,Scotland
GIR,"Girobank HQ, Bootle",Non-geographic
GL,Gloucester,South West
GU,Guilford,South East
GY,Guernsey,Channel Islands
HA,Harrow,Greater London
HD,Huddersfield,North West
HG,Harrogate,North East
HP,Hemel,East of England
HR,Hereford,West Midlands
HS,Comhairle nan Eilean Siar,Scotland
HU,Hull,North East
HX,Halifax,North West
IG,Ilford,Greater London
IM,Isle of Man,Isle of Man
IP,Ipswich,East of England
IV,Inverness,Scotland
JE,Jersey,Channel Islands
KA,Kilmarnock,Scotland
KT,Kingston,Greater London
KW,Kirkwall,Scotland
KY,Kirkaldy,Scotland
L,Liverpool,North West
LA,Lancaster,North West
LD,Llandrindod,Wales
LE,Leicester,East Midlands
LL,Llandudno,Wales
LN,Lincoln,East Midlands
LS,Leeds,North East
LU,Luton,East of England
M,Manchester,North West
ME,Medway,South East
MK,Milton Keynes,South East
ML,Motherwell,Scotland
N,London,Greater London
NE,Newcastle,North East
NG,Nottingham,East Midlands
NN,Northampton,West Midlands
NP,Newport,Wales
NR,Norwich,East of England
NW,London,Greater London
OL,Oldham,North West
OX,Oxford,South East
PA,Paisley,Scotland
PE,Peterborough,East England
PH,Perth,Scotland
PL,Plymouth,South West
PO,Portsmouth,South East
PR,Preston,North West
QC,Awarding Bodies,Non-geographic
RG,Reading,South East
RH,Redhill,South East
RM,Romford,Greater London
S,Sheffield,East Midlands
SA,Swansea,Wales
SE,London,Greater London
SG,Stevenage,East of England
SK,Stockport,North West
SL,Slough,South East
SM,Sutton,Greater London
SN,Swindon,South West
SO,Southampton,South East
SP,Salisbury,South West
SR,Sunderland,North East
SS,Southend,East of England
ST,Stoke on Trent,West Midlands
SW,London,Greater London
SY,Shrewsbury,Wales
TA,Taunton,South West
TD,Galashiels,Scotland
TF,Telford,West Midlands
TN,Tonbridge,South East
TQ,Torquay,South West
TR,Truro,South West
TS,Cleveland,North East
TW,Twickenham,Greater London
UB,Southall,Greater London
W,London,Greater London
WA,Warrington,North West
WC,London,Greater London
WD,Watford,Greater London
WF,Wakefield,North East
WN,Wigan,North West
WR,Worcester,West Midlands
WS,Walsall,West Midlands
WV,Wolverhampton,West Midlands
XX,Amazon.com returns,Non-geographic
YO,York,North East
ZE,Shetland,Scotland
